Дата вылета;Номер рейса;Аэропорт вылета;Аэропорт прилета;Время вылета;Время прилета;Емкость кабины;LF Кабина;Бронирования по кабинам;Тип ВС;Код кабины;Доход пасс;Пассажиры
2025-04-18;1055;MCX;SVO;21:00;00:10;150;0,9533;143;32A;Y;7980,48;143
2025-04-18;1129;AER;SVO;20:10;23:45;8;0,375;3;32A;C;295,52;3
2025-04-18;1129;AER;SVO;20:10;23:45;150;0,92;138;32A;Y;7304,98;139
2025-04-18;1141;AER;SVO;06:20;09:50;8;0,375;3;32A;C;715,06;3
2025-04-18;1141;AER;SVO;06:20;09:50;150;1,02;153;32A;Y;7325,65;153
2025-04-18;1190;SVO;KZN;09:10;10:50;8;0,625;5;32A;C;830,12;5
2025-04-18;1190;SVO;KZN;09:10;10:50;150;0,9867;148;32A;Y;8724,82;149
2025-04-18;1191;KZN;SVO;11:40;13:25;8;0,375;3;32A;C;556,94;3
2025-04-18;1191;KZN;SVO;11:40;13:25;150;0,9133;137;32A;Y;6856,22;137
2025-04-18;1246;SVO;REN;17:50;22:00;20;0,55;11;320;C;2662,22;11
2025-04-18;1246;SVO;REN;17:50;22:00;120;1,0667;128;320;Y;10190,44;128
2025-04-18;1276;SVO;KZN;12:55;14:40;8;0,875;7;32A;C;1814,95;7
2025-04-18;1276;SVO;KZN;12:55;14:40;150;0,8867;133;32A;Y;9986,53;144
2025-04-18;1277;KZN;SVO;15:30;17:10;8;0,375;3;32A;C;791,41;3
2025-04-18;1277;KZN;SVO;15:30;17:10;150;0,92;138;32A;Y;8094,48;149
2025-04-18;1478;SVO;ABA;00:15;08:50;8;0,25;2;32A;C;863,77;2
2025-04-18;1478;SVO;ABA;00:15;08:50;150;0,98;147;32A;Y;14656,43;149
2025-04-18;1479;ABA;SVO;10:00;11:05;8;0,875;7;32A;C;4109,42;7
2025-04-18;1479;ABA;SVO;10:00;11:05;150;0,9267;139;32A;Y;14992,15;139
2025-04-18;1524;SVO;RGK;00:10;08:35;28;0,0714;2;321;C;1142,81;2
2025-04-18;1524;SVO;RGK;00:10;08:35;142;0,9577;136;321;Y;13626,0;137
2025-04-18;1525;RGK;SVO;11:20;12:05;28;0,5;14;321;C;5544,88;14
2025-04-18;1525;RGK;SVO;11:20;12:05;142;0,9296;132;321;Y;14007,33;133
2025-04-18;1713;KHV;SVO;15:45;16:45;28;0,7857;22;359;C;16040,41;22
2025-04-18;1713;KHV;SVO;15:45;16:45;24;0,9583;23;359;W;6231,73;23
2025-04-18;1713;KHV;SVO;15:45;16:45;264;1,0303;272;359;Y;27084,66;272
2025-04-18;2142;SVO;AYT;07:45;12:50;16;0,8125;13;32B;C;6490,87;13
2025-04-18;2142;SVO;AYT;07:45;12:50;167;0,7964;133;32B;Y;21295,57;137
2025-04-18;2143;AYT;SVO;14:20;19:20;16;0,75;12;32B;C;6462,09;12
2025-04-18;2143;AYT;SVO;14:20;19:20;167;0,7425;124;32B;Y;18373,99;124
2025-04-18;6321;LED;KGD;14:50;15:45;5;0,2;1;SU9;W;18,58;1
2025-04-18;6321;LED;KGD;14:50;15:45;95;0,9684;92;SU9;Y;7777,87;92
2025-04-18;6574;KJA;LED;05:55;07:00;8;0,125;1;319;C;401,76;1
2025-04-18;6574;KJA;LED;05:55;07:00;120;1,0333;124;319;Y;13156,21;125
2025-05-18;209;PVG;SVO;11:40;16:30;30;0,9333;28;77W;C;19913,66;28
2025-05-18;209;PVG;SVO;11:40;16:30;48;0,5625;27;77W;W;10220,87;28
2025-05-18;209;PVG;SVO;11:40;16:30;324;1,0031;325;77W;Y;76012,04;328
2025-05-18;224;SVO;SYX;12:45;03:20;28;0,5;14;359;C;5730,6;15
2025-05-18;224;SVO;SYX;12:45;03:20;24;0,125;3;359;W;658,76;3
2025-05-18;224;SVO;SYX;12:45;03:20;264;0,3144;83;359;Y;17272,19;83
2025-05-18;233;DEL;SVO;05:00;09:00;30;0,8667;26;77W;C;14747,09;26
2025-05-18;233;DEL;SVO;05:00;09:00;48;0,125;6;77W;W;1487,79;6
2025-05-18;233;DEL;SVO;05:00;09:00;324;1,1235;364;77W;Y;69435,52;364
2025-05-18;321;MLE;SVO;11:05;17:50;30;0,6667;20;77W;C;15404,43;20
2025-05-18;321;MLE;SVO;11:05;17:50;48;0,625;30;77W;W;13969,39;30
2025-05-18;321;MLE;SVO;11:05;17:50;324;0,821;266;77W;Y;67106,72;273
2025-05-18;427;SSH;SVO;16:25;22:15;30;0,4667;14;77W;C;4998,13;14
2025-05-18;427;SSH;SVO;16:25;22:15;48;0,0833;4;77W;W;998,74;4
2025-05-18;427;SSH;SVO;16:25;22:15;324;0,321;104;77W;Y;18890,54;105
2025-05-18;521;DXB;SVO;16:05;20:50;30;0,9;27;77W;C;14785,16;27
2025-05-18;521;DXB;SVO;16:05;20:50;48;0,9167;44;77W;W;14222,85;45
2025-05-18;521;DXB;SVO;16:05;20:50;324;0,6451;209;77W;Y;34316,0;208
2025-05-18;526;SVO;DXB;11:25;18:20;20;0,6;12;73H;C;13315,05;12
2025-05-18;526;SVO;DXB;11:25;18:20;138;0,529;73;73H;Y;11521,69;73
2025-05-18;1009;KGD;SVO;03:00;06:30;16;0,25;4;32B;C;732,6;4
2025-05-18;1009;KGD;SVO;03:00;06:30;167;1,0719;179;32B;Y;7512,55;182
2025-05-18;1018;SVO;KGD;11:50;13:35;16;0,1875;3;32B;C;405,41;3
2025-05-18;1018;SVO;KGD;11:50;13:35;29;0,3448;10;32B;W;803,38;10
2025-05-18;1018;SVO;KGD;11:50;13:35;138;1,1159;154;32B;Y;5972,29;154
2025-05-18;1054;SVO;MCX;02:20;05:20;150;0,9733;146;32A;Y;6879,46;148
2025-05-18;1055;MCX;SVO;06:20;09:20;150;0,9733;146;32A;Y;7405,46;146
2025-05-18;1129;AER;SVO;20:10;23:45;8;0,875;7;32A;C;1761,64;7
2025-05-18;1129;AER;SVO;20:10;23:45;150;0,98;147;32A;Y;9380,72;151
2025-05-18;1141;AER;SVO;06:20;09:45;20;0,35;7;73H;C;1944,33;7
2025-05-18;1141;AER;SVO;06:20;09:45;138;1,0942;151;73H;Y;10224,26;151
2025-05-18;1190;SVO;KZN;09:10;10:50;16;0,3125;5;32B;C;765,45;5
2025-05-18;1190;SVO;KZN;09:10;10:50;167;0,9701;162;32B;Y;5118,76;162
2025-05-18;1191;KZN;SVO;11:40;13:25;16;0,375;6;32B;C;2606,95;6
2025-05-18;1191;KZN;SVO;11:40;13:25;167;0,8982;150;32B;Y;9595,23;151
2025-05-18;1246;SVO;REN;18:05;22:00;20;0,1;2;320;C;421,44;2
2025-05-18;1246;SVO;REN;18:05;22:00;120;1,1083;133;320;Y;10088,61;133
2025-05-18;1276;SVO;KZN;12:55;14:40;28;0,3571;10;321;C;2870,03;10
2025-05-18;1276;SVO;KZN;12:55;14:40;142;0,9507;135;321;Y;7873,26;135
2025-05-18;1277;KZN;SVO;15:30;17:05;28;0,3571;10;321;C;5439,61;11
2025-05-18;1277;KZN;SVO;15:30;17:05;142;0,9789;139;321;Y;11155,59;142
2025-05-18;1478;SVO;ABA;00:15;08:50;167;0,7605;127;32B;Y;11119,82;131
2025-05-18;1479;ABA;SVO;10:00;11:00;16;0,0625;1;32B;C;459,15;1
2025-05-18;1479;ABA;SVO;10:00;11:00;167;1,0659;178;32B;Y;17039,53;178
2025-05-18;1524;SVO;RGK;00:10;08:35;20;0,2;4;73H;C;2622,84;4
2025-05-18;1524;SVO;RGK;00:10;08:35;138;0,9275;128;73H;Y;15189,61;130
2025-05-18;1525;RGK;SVO;10:00;10:40;20;0,8;16;73H;C;8169,63;16
2025-05-18;1525;RGK;SVO;10:00;10:40;138;0,8913;123;73H;Y;17810,23;125
2025-05-18;1713;KHV;SVO;15:45;16:45;28;0,4286;12;359;C;8110,22;12
2025-05-18;1713;KHV;SVO;15:45;16:45;24;0,5417;13;359;W;4156,18;13
2025-05-18;1713;KHV;SVO;15:45;16:45;264;1,0947;289;359;Y;39369,98;290
2025-05-18;2142;SVO;AYT;07:45;12:50;16;0,4375;7;32B;C;1381,98;7
2025-05-18;2142;SVO;AYT;07:45;12:50;167;0,7006;117;32B;Y;14439,74;117
2025-05-18;2143;AYT;SVO;14:20;19:20;16;0,75;12;32B;C;12473,02;12
2025-05-18;2143;AYT;SVO;14:20;19:20;167;0,8204;137;32B;Y;18762,52;139
2025-05-18;6321;LED;KGD;14:50;15:35;8;0,5;4;319;C;772,3;4
2025-05-18;6321;LED;KGD;14:50;15:35;120;0,925;111;319;Y;5635,72;112
2025-05-18;6574;KJA;LED;05:55;07:00;8;0,5;4;32A;C;1321,06;4
2025-05-18;6574;KJA;LED;05:55;07:00;150;1,02;153;32A;Y;20641,52;153
2025-03-20;224;SVO;SYX;12:30;03:20;28;0,7143;20;359;C;10385,56;20
2025-03-20;224;SVO;SYX;12:30;03:20;24;0,7917;19;359;W;8218,62;19
2025-03-20;224;SVO;SYX;12:30;03:20;264;0,4583;121;359;Y;34690,68;121
2025-03-20;225;SYX;SVO;04:50;10:35;28;0,7857;22;333;C;12695,41;22
2025-03-20;225;SYX;SVO;04:50;10:35;268;0,4478;120;333;Y;35176,2;120
2025-03-20;233;DEL;SVO;05:50;10:10;28;0,75;21;333;C;10690,83;21
2025-03-20;233;DEL;SVO;05:50;10:10;268;0,944;253;333;Y;50160,72;255
2025-03-20;275;HKT;SVO;12:10;18:25;30;0,5333;16;77W;C;12983,95;16
2025-03-20;275;HKT;SVO;12:10;18:25;48;0,4375;21;77W;W;9259,97;21
2025-03-20;275;HKT;SVO;12:10;18:25;324;0,6698;217;77W;Y;58980,12;223
2025-03-20;321;MLE;SVO;11:00;18:00;30;0,8667;26;77W;C;33040,17;26
2025-03-20;321;MLE;SVO;11:00;18:00;48;0,4583;22;77W;W;10034,66;22
2025-03-20;321;MLE;SVO;11:00;18:00;324;0,4722;153;77W;Y;37044,36;155
2025-03-20;427;SSH;SVO;15:45;22:35;30;0,3333;10;77W;C;3070,58;10
2025-03-20;427;SSH;SVO;15:45;22:35;48;0,0625;3;77W;W;431,25;3
2025-03-20;427;SSH;SVO;15:45;22:35;324;0,1173;38;77W;Y;5423,52;38
2025-03-20;521;DXB;SVO;16:35;21:25;30;0,7667;23;77W;C;14371,34;24
2025-03-20;521;DXB;SVO;16:35;21:25;48;0,4792;23;77W;W;10341,96;23
2025-03-20;521;DXB;SVO;16:35;21:25;324;0,3765;122;77W;Y;17670,45;127
2025-03-20;526;SVO;DXB;11:15;18:00;28;0,75;21;333;C;12231,47;21
2025-03-20;526;SVO;DXB;11:15;18:00;268;0,7313;196;333;Y;28371,26;196
2025-03-20;1009;KGD;SVO;06:10;09:50;16;0,6875;11;32B;C;1251,35;11
2025-03-20;1009;KGD;SVO;06:10;09:50;167;1,024;171;32B;Y;7209,71;171
2025-03-20;1018;SVO;KGD;11:20;13:00;16;1,0;16;32B;C;2646,33;16
2025-03-20;1018;SVO;KGD;11:20;13:00;29;1,0;29;32B;W;2662,41;29
2025-03-20;1018;SVO;KGD;11:20;13:00;138;0,9493;131;32B;Y;5255,77;131
2025-03-20;1054;SVO;MCX;10:35;13:40;8;0,75;6;32A;C;1662,01;6
2025-03-20;1054;SVO;MCX;10:35;13:40;150;1,0067;151;32A;Y;6400,48;150
2025-03-20;1055;MCX;SVO;14:40;17:45;8;0,25;2;32A;C;485,14;2
2025-03-20;1055;MCX;SVO;14:40;17:45;150;0,44;66;32A;Y;2502,41;66
2025-03-20;1129;AER;SVO;06:05;09:40;8;0,375;3;32A;C;569,26;3
2025-03-20;1129;AER;SVO;06:05;09:40;150;1,04;156;32A;Y;7725,16;158
2025-03-20;1141;AER;SVO;21:20;00:45;28;0,4286;12;321;C;2387,4;12
2025-03-20;1141;AER;SVO;21:20;00:45;142;0,6056;86;321;Y;5335,64;87
2025-03-20;1190;SVO;KZN;10:40;12:20;16;0,25;4;32B;C;958,23;4
2025-03-20;1190;SVO;KZN;10:40;12:20;167;1,0898;182;32B;Y;6137,94;182
2025-03-20;1191;KZN;SVO;13:20;15:05;16;0,0625;1;32B;C;27,03;1
2025-03-20;1191;KZN;SVO;13:20;15:05;167;0,9641;161;32B;Y;4345,7;163
2025-03-20;1246;SVO;REN;08:35;13:00;16;0,1875;3;32B;C;370,88;3
2025-03-20;1246;SVO;REN;08:35;13:00;167;1,024;171;32B;Y;5576,84;172
2025-03-20;1276;SVO;KZN;08:10;10:00;16;0,5;8;32B;C;940,59;11
2025-03-20;1276;SVO;KZN;08:10;10:00;167;0,988;165;32B;Y;4319,18;170
2025-03-20;1277;KZN;SVO;10:50;12:35;16;0,1875;3;32B;C;645,95;3
2025-03-20;1277;KZN;SVO;10:50;12:35;167;1,0299;172;32B;Y;5556,76;174
2025-03-20;1478;SVO;ABA;23:55;08:45;20;0,25;5;73H;C;1178,35;5
2025-03-20;1478;SVO;ABA;23:55;08:45;138;0,7174;99;73H;Y;7836,52;97
2025-03-20;1479;ABA;SVO;11:45;12:50;20;0,2;4;73H;C;1695,7;4
2025-03-20;1479;ABA;SVO;11:45;12:50;138;1,1232;155;73H;Y;21372,2;156
2025-03-20;1524;SVO;RGK;00:05;08:35;20;0,55;11;73H;C;4074,4;11
2025-03-20;1524;SVO;RGK;00:05;08:35;138;1,058;146;73H;Y;15141,7;146
2025-03-20;1525;RGK;SVO;11:45;12:35;20;0,2;4;73H;C;1076,56;4
2025-03-20;1525;RGK;SVO;11:45;12:35;138;1,0942;151;73H;Y;14716,52;155
2025-03-20;1713;KHV;SVO;14:35;15:55;30;0,9;27;77W;C;21334,91;27
2025-03-20;1713;KHV;SVO;14:35;15:55;48;0,8542;41;77W;W;9761,41;41
2025-03-20;1713;KHV;SVO;14:35;15:55;324;0,9969;323;77W;Y;31302,2;330
2025-03-20;2142;SVO;AYT;11:25;16:30;16;0,9375;15;32B;C;8020,4;15
2025-03-20;2142;SVO;AYT;11:25;16:30;167;0,5449;91;32B;Y;15156,61;95
2025-03-20;2143;AYT;SVO;17:30;22:30;16;0,5625;9;32B;C;3865,32;9
2025-03-20;2143;AYT;SVO;17:30;22:30;167;0,1737;29;32B;Y;3064,28;33
2025-03-20;6568;AER;LED;18:45;22:55;8;0,5;4;319;C;1435,14;4
2025-03-20;6568;AER;LED;18:45;22:55;120;0,9167;110;319;Y;4742,67;110
2025-03-20;6574;KJA;LED;20:45;21:50;8;0,25;2;319;C;699,73;2
2025-03-20;6574;KJA;LED;20:45;21:50;120;1,05;126;319;Y;12282,43;128
2025-03-20;6792;SVX;KJA;12:15;17:10;8;0,125;1;319;C;225,68;1
2025-03-20;6792;SVX;KJA;12:15;17:10;120;1,0333;124;319;Y;6876,37;124
2025-03-12;209;PVG;SVO;11:45;16:50;30;1,0;30;77W;C;29484,53;30
2025-03-12;209;PVG;SVO;11:45;16:50;48;0,6458;31;77W;W;11378,07;31
2025-03-12;209;PVG;SVO;11:45;16:50;324;0,9691;314;77W;Y;65406,59;316
2025-03-12;224;SVO;SYX;12:30;03:20;28;0,6429;18;333;C;12864,78;18
2025-03-12;224;SVO;SYX;12:30;03:20;268;0,4216;113;333;Y;28533,7;113
2025-03-12;233;DEL;SVO;05:50;10:10;28;0,3929;11;359;C;5355,41;11
2025-03-12;233;DEL;SVO;05:50;10:10;288;0,9618;277;359;Y;52077,52;277
2025-03-12;275;HKT;SVO;12:10;18:25;30;0,6;18;77W;C;21984,34;18
2025-03-12;275;HKT;SVO;12:10;18:25;48;0,4375;21;77W;W;11829,84;23
2025-03-12;275;HKT;SVO;12:10;18:25;324;0,7191;233;77W;Y;70041,32;243
2025-03-12;321;MLE;SVO;11:00;18:00;28;0,75;21;359;C;18949,1;21
2025-03-12;321;MLE;SVO;11:00;18:00;24;0,5;12;359;W;5275,05;12
2025-03-12;321;MLE;SVO;11:00;18:00;264;0,6402;169;359;Y;39889,94;170
2025-03-12;427;SSH;SVO;15:45;22:35;30;0,2667;8;77W;C;2935,73;8
2025-03-12;427;SSH;SVO;15:45;22:35;48;0,0417;2;77W;W;585,0;2
2025-03-12;427;SSH;SVO;15:45;22:35;324;0,0833;27;77W;Y;4196,89;27
2025-03-12;521;DXB;SVO;15:25;20:15;30;0,8667;26;77W;C;13227,46;26
2025-03-12;521;DXB;SVO;15:25;20:15;48;0,875;42;77W;W;12908,13;42
2025-03-12;521;DXB;SVO;15:25;20:15;324;0,3272;106;77W;Y;15623,32;112
2025-03-12;526;SVO;DXB;11:15;18:00;20;0,45;9;73H;C;6290,75;9
2025-03-12;526;SVO;DXB;11:15;18:00;138;0,4493;62;73H;Y;10118,36;69
2025-03-12;638;VVO;HKT;03:15;08:00;30;0,5667;17;77W;C;10903,64;17
2025-03-12;638;VVO;HKT;03:15;08:00;48;0,2917;14;77W;W;4420,7;14
2025-03-12;638;VVO;HKT;03:15;08:00;324;0,3364;109;77W;Y;24858,79;110
2025-03-12;1009;KGD;SVO;06:10;09:50;16;0,4375;7;32B;C;1011,63;7
2025-03-12;1009;KGD;SVO;06:10;09:50;167;1,0599;177;32B;Y;7701,22;179
2025-03-12;1018;SVO;KGD;11:20;13:00;16;1,0;16;32B;C;3095,15;16
2025-03-12;1018;SVO;KGD;11:20;13:00;29;0,4138;12;32B;W;959,69;12
2025-03-12;1018;SVO;KGD;11:20;13:00;138;1,0942;151;32B;Y;5879,27;152
2025-03-12;1054;SVO;MCX;10:35;13:40;20;0,1;2;320;C;384,07;2
2025-03-12;1054;SVO;MCX;10:35;13:40;120;0,6833;82;320;Y;2811,51;83
2025-03-12;1055;MCX;SVO;14:40;17:45;20;0,1;2;320;C;485,51;2
2025-03-12;1055;MCX;SVO;14:40;17:45;120;0,8667;104;320;Y;4518,7;103
2025-03-12;1129;AER;SVO;06:05;09:40;16;0,4375;7;32B;C;2009,68;7
2025-03-12;1129;AER;SVO;06:05;09:40;167;1,0359;173;32B;Y;8664,23;177
2025-03-12;1141;AER;SVO;21:20;00:45;28;0,3214;9;321;C;2110,62;10
2025-03-12;1141;AER;SVO;21:20;00:45;142;0,6127;87;321;Y;5021,83;87
2025-03-12;1190;SVO;KZN;10:40;12:20;16;0,1875;3;32B;C;379,48;3
2025-03-12;1190;SVO;KZN;10:40;12:20;167;1,0419;174;32B;Y;4208,66;174
2025-03-12;1191;KZN;SVO;13:20;15:05;16;0,3125;5;32B;C;973,33;5
2025-03-12;1191;KZN;SVO;13:20;15:05;167;0,9701;162;32B;Y;4882,85;165
2025-03-12;1246;SVO;REN;08:35;13:00;8;0,5;4;32A;C;1042,65;4
2025-03-12;1246;SVO;REN;08:35;13:00;150;1,0333;155;32A;Y;5710,16;154
2025-03-12;1276;SVO;KZN;08:10;10:00;16;0,25;4;32B;C;930,22;4
2025-03-12;1276;SVO;KZN;08:10;10:00;167;1,006;168;32B;Y;4319,42;168
2025-03-12;1277;KZN;SVO;10:50;12:35;16;0,25;4;32B;C;1145,95;4
2025-03-12;1277;KZN;SVO;10:50;12:35;167;1,0539;176;32B;Y;5557,11;178
2025-03-12;1478;SVO;ABA;23:55;08:45;20;0,55;11;73H;C;5376,32;11
2025-03-12;1478;SVO;ABA;23:55;08:45;138;0,9493;131;73H;Y;12299,45;131
2025-03-12;1479;ABA;SVO;09:55;11:00;20;0,15;3;73H;C;1157,04;3
2025-03-12;1479;ABA;SVO;09:55;11:00;138;0,9855;136;73H;Y;11421,99;139
2025-03-12;1524;SVO;RGK;00:05;08:35;20;0,5;10;73H;C;4518,72;10
2025-03-12;1524;SVO;RGK;00:05;08:35;138;0,971;134;73H;Y;14542,22;136
2025-03-12;1525;RGK;SVO;11:45;12:35;20;0,75;15;73H;C;9553,16;15
2025-03-12;1525;RGK;SVO;11:45;12:35;138;0,9493;131;73H;Y;15432,73;131
2025-03-12;2142;SVO;AYT;11:25;16:30;20;0,55;11;73H;C;3835,21;11
2025-03-12;2142;SVO;AYT;11:25;16:30;138;0,3986;55;73H;Y;7533,53;55
2025-03-12;2143;AYT;SVO;17:30;22:30;20;0,2;4;73H;C;1009,72;4
2025-03-12;2143;AYT;SVO;17:30;22:30;138;0,1957;27;73H;Y;3586,42;27
2025-03-12;6568;AER;LED;18:45;22:55;8;0,625;5;319;C;1093,01;5
2025-03-12;6568;AER;LED;18:45;22:55;120;0,9417;113;319;Y;4851,35;114
2025-03-12;6574;KJA;LED;20:45;21:50;8;0,375;3;319;C;1624,75;4
2025-03-12;6574;KJA;LED;20:45;21:50;120;0,675;81;319;Y;7145,07;81
2025-03-12;6792;SVX;KJA;13:50;18:50;95;1,0;95;SU9;Y;5424,41;97
2025-04-04;209;PVG;SVO;11:40;16:30;30;1,0;30;77W;C;53052,35;30
2025-04-04;209;PVG;SVO;11:40;16:30;48;0,7917;38;77W;W;26365,76;38
2025-04-04;209;PVG;SVO;11:40;16:30;324;0,9784;317;77W;Y;91930,17;319
2025-04-04;224;SVO;SYX;10:35;01:15;28;0,6786;19;359;C;15276,04;19
2025-04-04;224;SVO;SYX;10:35;01:15;24;0,4167;10;359;W;5386,91;10
2025-04-04;224;SVO;SYX;10:35;01:15;264;0,4129;109;359;Y;28536,26;109
2025-04-04;225;SYX;SVO;04:50;10:10;28;0,6429;18;359;C;9383,58;18
2025-04-04;225;SYX;SVO;04:50;10:10;24;0,625;15;359;W;5365,27;15
2025-04-04;225;SYX;SVO;04:50;10:10;264;0,4167;110;359;Y;23050,51;110
2025-04-04;233;DEL;SVO;05:00;09:00;30;0,2667;8;77W;C;5358,34;9
2025-04-04;233;DEL;SVO;05:00;09:00;48;0,1042;5;77W;W;1253,04;5
2025-04-04;233;DEL;SVO;05:00;09:00;324;0,9198;298;77W;Y;49365,85;301
2025-04-04;321;MLE;SVO;11:05;17:50;30;0,9333;28;77W;C;36178,09;29
2025-04-04;321;MLE;SVO;11:05;17:50;48;0,9167;44;77W;W;21974,07;44
2025-04-04;321;MLE;SVO;11:05;17:50;324;0,7191;233;77W;Y;62955,52;235
2025-04-04;427;SSH;SVO;15:30;22:15;30;0,6;18;77W;C;6341,03;18
2025-04-04;427;SSH;SVO;15:30;22:15;48;0,125;6;77W;W;1985,32;6
2025-04-04;427;SSH;SVO;15:30;22:15;324;0,213;69;77W;Y;12364,21;69
2025-04-04;521;DXB;SVO;16:05;20:50;30;0,8;24;77W;C;25486,71;24
2025-04-04;521;DXB;SVO;16:05;20:50;48;0,9583;46;77W;W;24131,51;46
2025-04-04;521;DXB;SVO;16:05;20:50;324;0,6636;215;77W;Y;47907,46;215
2025-04-04;526;SVO;DXB;11:25;18:20;28;0,9643;27;333;C;39517,06;27
2025-04-04;526;SVO;DXB;11:25;18:20;268;0,7724;207;333;Y;56375,53;208
2025-04-04;638;VVO;HKT;10:30;14:50;30;0,3;9;77W;C;5274,87;9
2025-04-04;638;VVO;HKT;10:30;14:50;48;0,5208;25;77W;W;8629,72;25
2025-04-04;638;VVO;HKT;10:30;14:50;324;0,3519;114;77W;Y;23265,97;114
2025-04-04;1009;KGD;SVO;03:00;06:30;16;0,125;2;32B;C;208,11;2
2025-04-04;1009;KGD;SVO;03:00;06:30;167;1,0479;175;32B;Y;7965,79;174
2025-04-04;1018;SVO;KGD;11:50;13:35;16;0,6875;11;32B;C;1723,65;11
2025-04-04;1018;SVO;KGD;11:50;13:35;29;1,0;29;32B;W;2936,36;29
2025-04-04;1018;SVO;KGD;11:50;13:35;138;1,0072;139;32B;Y;6343,51;142
2025-04-04;1054;SVO;MCX;02:20;05:20;150;1,0;150;32A;Y;7401,86;153
2025-04-04;1055;MCX;SVO;06:20;09:20;8;0,5;4;32A;C;870,99;4
2025-04-04;1055;MCX;SVO;06:20;09:20;150;1,0;150;32A;Y;9151,87;150
2025-04-04;1129;AER;SVO;20:10;23:45;8;0,5;4;32A;C;833,6;4
2025-04-04;1129;AER;SVO;20:10;23:45;150;0,9533;143;32A;Y;8183,15;143
2025-04-04;1141;AER;SVO;06:20;09:50;8;0,25;2;32A;C;27,03;2
2025-04-04;1141;AER;SVO;06:20;09:50;150;0,96;144;32A;Y;6583,87;146
2025-04-04;1190;SVO;KZN;09:10;10:50;16;0,1875;3;32B;C;513,51;3
2025-04-04;1190;SVO;KZN;09:10;10:50;167;1,0659;178;32B;Y;8687,91;180
2025-04-04;1191;KZN;SVO;11:40;13:25;16;0,8125;13;32B;C;3793,92;13
2025-04-04;1191;KZN;SVO;11:40;13:25;167;0,9281;155;32B;Y;8616,44;155
2025-04-04;1246;SVO;REN;17:50;22:00;20;0,1;2;320;C;386,98;2
2025-04-04;1246;SVO;REN;17:50;22:00;120;1,1333;136;320;Y;10124,56;137
2025-04-04;1276;SVO;KZN;12:55;14:40;20;0,2;4;73H;C;698,95;4
2025-04-04;1276;SVO;KZN;12:55;14:40;138;1,0072;139;73H;Y;8082,41;150
